start_time,end_time,meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,q10,q20,q30,q40,q50,q60,q70,q80,q90,spanOfGroup,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_to,network_from,network_both,network_to_external,network_local,anonymous_source_destination,device,state
1556234832.344991,1556234884.842493,255.83333333333334,54,1514,36.32375435338725,2.397274765243477,4.669735477427549,54.0,54.0,54.0,66.0,78.5,98.0,169.7999999999996,330.40000000000055,747.5000000000005,52.49750208854675,0.32811598437499995,1.4796835575722247,0.011710499999999999,30.123373564870576,5.34116403099611,0,0,0,192,0,0,cloudcam,power
1556234827.128274,1556234884.842493,264.453125,54,1586,23.721635496089633,2.234267033709704,3.863762146605585,54.0,54.0,54.0,56.400000000000034,70.0,90.0,140.29999999999978,421.6000000000004,756.0,57.714219093322754,0.16097820833333334,0.5895605756053909,0.0033925,75.86899573072205,8.164674672882954,0,0,0,192,0,0,cloudcam,power
1556234828.129472,1556234884.842493,277.1302083333333,54,1586,37.065055462640046,2.2056041797276214,3.610451931270248,54.0,54.0,54.0,66.0,79.0,96.79999999999998,180.0,416.00000000000034,762.3000000000001,56.71302103996277,0.20650632291666668,0.6586937305307118,0.005403,36.42498526708332,5.850386809086712,0,0,0,192,0,0,cloudcam,power
1556234828.137738,1556234884.3336518,245.65625,54,1586,29.65204437011204,2.4104746348860644,4.5696986641011215,54.0,54.0,54.0,54.0,74.0,90.0,99.0,282.0,777.4000000000001,56.195913791656494,0.1987602083333333,0.6778568958584172,0.006897,64.15696748946867,7.524208268625315,0,0,0,192,0,0,cloudcam,power
1556234827.128274,1556234884.3336518,317.15625,54,1514,53.37367986620167,1.901342264660895,2.453264911196869,54.0,54.0,54.0,66.0,90.0,158.7999999999997,342.0,486.0,966.0,57.20537781715393,0.24109534375,1.0049779199776194,0.0072505,34.850107899246815,5.7231873206965655,0,0,0,192,0,0,cloudcam,power
1556234827.128274,1556234884.842433,269.8958333333333,54,1586,17.791226622067224,2.1310284636925556,3.186631849504878,54.0,54.0,54.0,54.0,66.0,85.0,100.39999999999998,346.0,1031.7000000000005,57.71415901184082,0.21735402083333333,0.5522696312080205,0.0097825,42.46094127007771,6.023818278845764,0,0,0,192,0,0,cloudcam,power
1556234827.128274,1556234884.842493,271.6458333333333,54,1586,29.65204437011204,2.279354791401183,4.1335410924142115,54.0,54.0,54.0,61.20000000000002,74.0,96.79999999999998,230.0,382.8000000000005,756.0,57.714219093322754,0.08902331770833334,0.11987632799907653,0.006049499999999999,49.14561891964908,6.622455662624961,0,0,0,192,0,0,cloudcam,power
1556234827.128274,1556234884.333608,270.4479166666667,54,1514,17.791226622067224,2.1907446262633345,3.5608393438902395,54.0,54.0,54.0,54.0,66.0,88.0,150.89999999999992,350.80000000000007,945.7000000000012,57.205333948135376,0.18115292708333333,0.8667442610706645,0.0043915,61.74914751624995,7.5915631636004415,0,0,0,192,0,0,cloudcam,power
1556234828.129472,1556234884.842433,271.7083333333333,54,1514,17.791226622067224,2.1137555913790775,3.4766092722309105,54.0,54.0,54.0,54.0,66.0,95.0,184.19999999999993,416.00000000000034,792.0,56.712960958480835,0.24374853125000004,1.2621845079274019,0.009297,42.45443236201983,6.4530323649893635,0,0,0,192,0,0,cloudcam,power
1556234828.129472,1556234884.842493,292.8854166666667,54,1586,45.96066877367366,2.070625893573163,2.9365585300970283,54.0,54.0,54.0,66.0,85.0,99.0,186.0,427.6000000000001,966.0,56.71302103996277,0.14118360416666667,0.20694785712199956,0.0059295,19.60839424638401,4.302803624270588,0,0,0,192,0,0,cloudcam,power
1556235053.860353,1556235087.069368,283.65384615384613,54,1514,17.791226622067224,2.2042705853445255,3.7932393349747002,54.0,54.0,54.0,62.0,66.0,146.0,284.0,392.0,861.0,33.209014892578125,0.1474895,0.271443309087658,0.0044395,27.60274430418662,5.030135388602358,0,0,0,156,0,0,cloudcam,power
1556235053.860353,1556235084.925082,232.71794871794873,54,1514,29.65204437011204,2.537144628088152,5.681211276620408,54.0,54.0,54.0,63.0,74.0,90.0,180.0,342.0,669.5,31.06472897529602,0.12150373076923078,0.17106740888057217,0.0047005,39.127057888356305,5.763451351151998,0,0,0,156,0,0,cloudcam,power
1556235054.8657181,1556235087.071251,232.18589743589743,54,1514,29.65204437011204,2.588973485615893,5.990333459957368,54.0,54.0,54.0,62.0,74.0,88.0,146.0,345.0,552.0,32.20553278923035,0.1040523076923077,0.1663509865228079,0.009738,43.937500832159266,6.254897865455761,0,0,0,156,0,0,cloudcam,power
1556235054.8657181,1556235087.05655,238.99358974358975,54,1514,45.96066877367366,2.466505148557863,5.9469582612915435,54.0,54.0,54.0,66.0,85.0,95.0,201.5,345.0,756.0,32.190831899642944,0.1562546858974359,0.4780693202259587,0.0040495,54.97678648377442,6.879143113460965,0,0,0,156,0,0,cloudcam,power
1556235053.860353,1556235087.071251,223.80128205128204,54,1514,13.343419966550417,2.71004009458878,6.497354633074073,54.0,54.0,54.0,54.0,63.0,82.0,97.0,292.0,552.0,33.21089792251587,0.12044198076923074,0.1952181428972577,0.011872,26.08841735054081,4.8944369754312795,0,0,0,156,0,0,cloudcam,power
1556235053.860353,1556235087.0687323,208.59615384615384,54,1514,17.791226622067224,3.0357499982733764,9.114374832668151,54.0,54.0,54.0,62.0,66.0,88.0,125.5,342.0,486.0,33.20837926864624,0.19346095512820513,0.5606034931116303,0.0083515,41.1060889073399,5.94456286621738,0,0,0,156,0,0,cloudcam,power
1556235054.861277,1556235087.069368,232.44230769230768,54,1514,38.54765768114565,2.6634853655236483,6.475310515610284,54.0,54.0,54.0,66.0,80.0,95.0,180.0,343.0,577.0,32.20809078216553,0.20063183974358972,0.8100108310162902,0.005751,35.96920825517998,5.862991651665988,0,0,0,156,0,0,cloudcam,power
1556235053.860353,1556235087.069368,275.6794871794872,54,1514,29.65204437011204,2.1980445726452893,3.6215482472484783,54.0,54.0,54.0,63.0,74.0,94.0,180.0,392.0,763.0,33.209014892578125,0.08867434615384616,0.3122504420622278,0.006285000000000001,124.8421496080583,10.904398997074837,0,0,0,156,0,0,cloudcam,power
1556235054.861277,1556235087.069368,243.07692307692307,54,1514,29.65204437011204,2.470046682288279,5.267273671692626,54.0,54.0,54.0,60.0,74.0,94.0,180.0,346.0,756.0,32.20809078216553,0.17019583974358973,0.5104561971170772,0.004853,49.4587711314635,6.557479349975968,0,0,0,156,0,0,cloudcam,power
1556235053.860353,1556235087.071251,260.3205128205128,54,1514,29.65204437011204,2.351601582355263,4.551669474034514,54.0,54.0,54.0,60.0,74.0,88.0,199.0,346.0,669.5,33.21089792251587,0.11203889102564105,0.34394535107906554,0.0042664999999999995,101.31827295679741,9.52084070707387,0,0,0,156,0,0,cloudcam,power
1556234602.683969,1556234664.5377789,225.5951219512195,54,1514,37.065055462640046,2.6522197163100554,6.105457190190574,54.0,54.0,54.0,63.0,79.0,90.0,105.0,236.0000000000005,571.0,61.85380983352661,0.2881276926829268,2.600132174984252,0.007724,58.51159322388076,7.643428910550285,0,0,0,205,0,0,cloudcam,power
